LANDSYSTEM-KEY,COMP-ID,LS_DESCRIPTION
Red-Rock,NORTH-250,steep rocky plateaux and hills on quartz sandstone and sandstone; shallow sandy soils and rock outcrop
Redsan,SOUTH-1M,level to undulating sandplains with red sands
Renners,SOUTH-1M,"plains, rises and plateaux on weathered and unweathered Cambrian limestone, dolomite, chalcedony, shale, sandstone and siltstone with associated sand sheets; sandy and earth soils"
Reynolds,SOUTH-1M,"gently undulating to undulating plains with rises and low hills on granite, schist, gneiss (deeply weathered in places); coarse grained sandy, earthy and texture contrast soils"
Ringwood,SOUTH-1M,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
River,NORTH-250,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Rosie,NORTH-250,"coastal parabolic dunefields, sandplains, beach ridges and beaches; sandy soils"
Rugged,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Rumbalara,SOUTH-1M,"low hills, hills and stony plateaux on sandstone, siltstone, quartzite and conglomerate (deeply weathered in places); outcrop with shallow stony soils"
Rumwaggon,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Running,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Ryan,SOUTH-1M,"gently undulating to undulating plains with rises and low hills on granite, schist, gneiss (deeply weathered in places); coarse grained sandy, earthy and texture contrast soils"
Sandover,SOUTH-1M,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Santa-Teresa,SOUTH-1M,dissected hills on Cambrian limestone and dolomite; shallow soils with rock outcrop
Scarp,NORTH-250,"plateaux, scarps and some rises on deeply weathered sediments; shallow soils with rock outcrop"
Seigadale,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Seigal,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Seigalara,NORTH-250,"low hills, hills and stony plateaux on sandstone, siltstone, quartzite and conglomerate (deeply weathered in places); outcrop with shallow stony soils"
Settlement,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Shadforth,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Simpson,SOUTH-1M,"dunefields with parallel linear dunes, reticulate dunes and irregular or aligned short dunes; red sands"
Singleton,SOUTH-1M,level to undulating sandplains with red sands
Sommerville,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Sonder,SOUTH-1M,"rugged ranges on quartzite, sandstone and conglomerate; outcrop with shallow, stony sandy soils"
Spencer1,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Spencer2,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Spencer3,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Spencer4,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Spencer1,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Spencer2,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Spencer3,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Spencer4,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Spillen,NORTH-250,"coastal parabolic dunefields, sandplains, beach ridges and beaches; sandy soils"
Springs,NORTH-250,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Stokes,SOUTH-1M,"gently undulating to undulating plains with rises and low hills on granite, schist, gneiss (deeply weathered in places); coarse grained sandy, earthy and texture contrast soils"
Stokes1,NORTH-250,"plateaux, scarps and some rises on deeply weathered sediments; shallow soils with rock outcrop"
Stokes2,NORTH-250,steep rocky plateaux and hills on quartz sandstone and sandstone; shallow sandy soils and rock outcrop
Stokes3,NORTH-250,steep rocky plateaux and hills on quartz sandstone and sandstone; shallow sandy soils and rock outcrop
Stokes4,NORTH-250,steep rocky plateaux and hills on quartz sandstone and sandstone; shallow sandy soils and rock outcrop
Stokes5,NORTH-250,steep rocky plateaux and hills on quartz sandstone and sandstone; shallow sandy soils and rock outcrop
Strangways,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Stray,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Stubb,NORTH-250,"low hills, hills and stony plateaux on sandstone, siltstone, quartzite and conglomerate (deeply weathered in places); outcrop with shallow stony soils"
Sturt,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Sturt-low-scarp,NORTH-250,"plateaux, scarps and some rises on deeply weathered sediments; shallow soils with rock outcrop"
Surprise,NORTH-250,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Sylvester,SOUTH-1M,level to gently undulating clay plains (black soil plains); cracking clay soils
Table-Hill,SOUTH-1M,"plains, rises and plateaux on weathered and unweathered Cambrian limestone, dolomite, chalcedony, shale, sandstone and siltstone with associated sand sheets; sandy and earth soils"
Tabletop,NORTH-250,elevated plateaux surfaces on deeply weathered sediments and associated sand sheets; sandy and earth soils
Tagoman,NORTH-250,"plains, rises and plateaux on weathered and unweathered Cambrian limestone, dolomite, chalcedony, shale, sandstone and siltstone with associated sand sheets; sandy and earth soils"
Tanmurra,SOUTH-1M,dissected hills on Cambrian limestone and dolomite; shallow soils with rock outcrop
Tanmurra1,NORTH-250,dissected hills on Cambrian limestone and dolomite; shallow soils with rock outcrop
Tanmurra2,NORTH-250,dissected hills on Cambrian limestone and dolomite; shallow soils with rock outcrop
Tanmurra3,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Tanumbirini,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Tawarrila,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Tennant-Creek,SOUTH-1M,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Tietkins,SOUTH-1M,"gently undulating to undulating plains with rises and low hills on granite, schist, gneiss (deeply weathered in places); coarse grained sandy, earthy and texture contrast soils"
Titra,SOUTH-1M,"plains, rises and plateaux on weathered and unweathered Cambrian limestone, dolomite, chalcedony, shale, sandstone and siltstone with associated sand sheets; sandy and earth soils"
Tiwi,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Tobermorey,SOUTH-1M,"plains, rises and plateaux on weathered and unweathered Cambrian limestone, dolomite, chalcedony, shale, sandstone and siltstone with associated sand sheets; sandy and earth soils"
Todd,SOUTH-1M,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Tolmer,NORTH-250,steep rocky plateaux and hills on quartz sandstone and sandstone; shallow sandy soils and rock outcrop
Tomahawk,SOUTH-1M,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Tomkinson,NORTH-250,"low hills, hills and stony plateaux on sandstone, siltstone, quartzite and conglomerate (deeply weathered in places); outcrop with shallow stony soils"
TP,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Twin-Springs,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Umbakumba,NORTH-250,"coastal parabolic dunefields, sandplains, beach ridges and beaches; sandy soils"
Unca,SOUTH-1M,"gently undulating to undulating plains with rises and low hills on granite, schist, gneiss (deeply weathered in places); coarse grained sandy, earthy and texture contrast soils"
Undippa,SOUTH-1M,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Utopia,SOUTH-1M,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Vale,NORTH-250,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Valley,NORTH-250,"plains and rises on basalt, agglomerate and tuff, some dolerite; clayey soils with surface stone"
Van-Diemen,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Van-Diemen,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Vanderlin,NORTH-250,"coastal parabolic dunefields, sandplains, beach ridges and beaches; sandy soils"
Venlaw,NORTH-250,"plains and rises on basalt, agglomerate and tuff, some dolerite; clayey soils with surface stone"
Verity,NORTH-250,"plains and rises on basalt, agglomerate and tuff, some dolerite; clayey soils with surface stone"
Verrucose,NORTH-250,"plains and rises on basalt, agglomerate and tuff, some dolerite; clayey soils with surface stone"
Victoria,NORTH-250,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Viney,NORTH-250,"low hills and hills on basalt, agglomerate and tuff, some dolerite; mostly rock rock outcrop with surface stone and pockets of clayey soils"
Volcanics1,NORTH-250,"low hills and hills on basalt, agglomerate and tuff, some dolerite; mostly rock rock outcrop with surface stone and pockets of clayey soils"
Volcanics1,NORTH-250,"low hills and hills on basalt, agglomerate and tuff, some dolerite; mostly rock rock outcrop with surface stone and pockets of clayey soils"
Volcanics2,NORTH-250,"plains and rises on basalt, agglomerate and tuff, some dolerite; clayey soils with surface stone"
Walker,NORTH-250,"low hills, hills and stony plateaux on sandstone, siltstone, quartzite and conglomerate (deeply weathered in places); outcrop with shallow stony soils"
Wallingin,NORTH-250,"plains, rises and plateaux on weathered and unweathered Cambrian limestone, dolomite, chalcedony, shale, sandstone and siltstone with associated sand sheets; sandy and earth soils"
Wangarlu,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Wangi,NORTH-250,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Wangiti,NORTH-250,"coastal parabolic dunefields, sandplains, beach ridges and beaches; sandy soils"
Warburton,SOUTH-1M,"gently undulating to undulating plains with rises and low hills on granite, schist, gneiss (deeply weathered in places); coarse grained sandy, earthy and texture contrast soils"
Warloch,NORTH-250,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Warramana,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Waterbag,NORTH-250,"low hills, hills and stony plateaux on sandstone, siltstone, quartzite and conglomerate (deeply weathered in places); outcrop with shallow stony soils"
Waterhouse,NORTH-250,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Wave-Hill,SOUTH-1M,"plains and rises on basalt, agglomerate and tuff, some dolerite; clayey soils with surface stone"
Wave-Hill,SOUTH-1M,"plains and rises on basalt, agglomerate and tuff, some dolerite; clayey soils with surface stone"
Weaber,NORTH-250,steep rocky plateaux and hills on quartz sandstone and sandstone; shallow sandy soils and rock outcrop
Wearyan,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Weldon,SOUTH-1M,"gently undulating to undulating plains with rises and low hills on granite, schist, gneiss (deeply weathered in places); coarse grained sandy, earthy and texture contrast soils"
Welltree,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Wessel,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Western,NORTH-250,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Weston,NORTH-250,"plateaux, scarps and some rises on deeply weathered sediments; shallow soils with rock outcrop"
Wickham,SOUTH-1M,steep rocky plateaux and hills on quartz sandstone and sandstone; shallow sandy soils and rock outcrop
Wigram,NORTH-250,steep rocky plateaux and hills on quartz sandstone and sandstone; shallow sandy soils and rock outcrop
Wilfred,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Willeroo,SOUTH-1M,"plains and rises on basalt, agglomerate and tuff, some dolerite; clayey soils with surface stone"
Willeroo1,NORTH-250,"plains and rises on basalt, agglomerate and tuff, some dolerite; clayey soils with surface stone"
Willeroo2,NORTH-250,"plains and rises on basalt, agglomerate and tuff, some dolerite; clayey soils with surface stone"
Wilyunpa,SOUTH-1M,"low hills, hills and stony plateaux on sandstone, siltstone, quartzite and conglomerate (deeply weathered in places); outcrop with shallow stony soils"
Wingate1,NORTH-250,elevated plateaux surfaces on deeply weathered sediments and associated sand sheets; sandy and earth soils
Wingate2,NORTH-250,elevated plateaux surfaces on deeply weathered sediments and associated sand sheets; sandy and earth soils
Wingate3,NORTH-250,elevated plateaux surfaces on deeply weathered sediments and associated sand sheets; sandy and earth soils
Wingate-eroded,NORTH-250,elevated plateaux surfaces on deeply weathered sediments and associated sand sheets; sandy and earth soils
Wingate1,NORTH-250,elevated plateaux surfaces on deeply weathered sediments and associated sand sheets; sandy and earth soils
Wingate2,NORTH-250,elevated plateaux surfaces on deeply weathered sediments and associated sand sheets; sandy and earth soils
Wingate3,NORTH-250,elevated plateaux surfaces on deeply weathered sediments and associated sand sheets; sandy and earth soils
Wingate-eroded,NORTH-250,elevated plateaux surfaces on deeply weathered sediments and associated sand sheets; sandy and earth soils
Winnecke,SOUTH-1M,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Woggaman1,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Woggaman2,NORTH-250,elevated plateaux surfaces on deeply weathered sediments and associated sand sheets; sandy and earth soils
Wonardo,SOUTH-1M,level to gently undulating clay plains (black soil plains); cracking clay soils
Wondoan,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Wongalla,NORTH-250,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Wonmurri,NORTH-250,seasonally flooded coastal floodplains; inundated 3-6 months; poorly drained clay soils
Wonorah,SOUTH-1M,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Wonorah-Barkly1,SOUTH-1M,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Wonorah-Creswell,SOUTH-1M,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Woodcutter,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Woodduck,SOUTH-1M,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Woolla,SOUTH-1M,"plains, rises and plateaux on weathered and unweathered Cambrian limestone, dolomite, chalcedony, shale, sandstone and siltstone with associated sand sheets; sandy and earth soils"
Woomeroo,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Wriggley,NORTH-250,"plains, rises and plateaux on weathered and unweathered Cambrian limestone, dolomite, chalcedony, shale, sandstone and siltstone with associated sand sheets; sandy and earth soils"
Wulkulyi,NORTH-250,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Yarrawirrie,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Yelvertoft,SOUTH-1M,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Yujullowan,NORTH-250,"plateaux, scarps and some rises on deeply weathered sediments; shallow soils with rock outcrop"
Yungman,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
